Src IP,Dst Port,Protocol,Anomaly_Score,Rule_Result,Prediction,True_Label
172.20.48.170,7680,6,0.48943817046308163,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5195340511580111,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.49160484753926464,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,7680,6,0.48402080352572835,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5279075621256838,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.522000985869221,Normal,Normal,NEEDMANUALLABEL
104.18.39.21,55745,6,0.5565352765710202,Normal,ATTACK,NEEDMANUALLABEL
162.159.133.234,58974,6,0.5653739947399432,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5326311590240452,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,17,0.5429607151065516,Normal,ATTACK,NEEDMANUALLABEL
104.16.103.112,64673,6,0.5539013775659446,Normal,ATTACK,NEEDMANUALLABEL
104.16.103.112,52104,6,0.5475161127445115,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.556201145593488,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5628734671843074,Normal,ATTACK,NEEDMANUALLABEL
57.144.57.32,54348,6,0.5855660031641495,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5396222252636473,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,7680,6,0.46315642740650365,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5392572477340491,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,8883,6,0.603735751995836,Normal,ATTACK,NEEDMANUALLABEL
162.159.133.234,58974,6,0.5678052540268734,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.3638824891529232,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,17,0.5051952480407376,Normal,Normal,NEEDMANUALLABEL
104.18.39.21,55745,6,0.5637358519830612,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6327819157242438,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.538892517059734,Normal,ATTACK,NEEDMANUALLABEL
104.16.103.112,64673,6,0.5510214346174824,Normal,ATTACK,NEEDMANUALLABEL
104.16.103.112,52104,6,0.5444851424474413,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.549397961269459,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,53,17,0.36104013287919523,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5286908459813453,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5706845104491355,Normal,ATTACK,NEEDMANUALLABEL
57.144.57.32,54348,6,0.5536179102011637,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5391328030280612,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,8883,6,0.6028080436521488,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.3649095259725193,Normal,Normal,NEEDMANUALLABEL
162.159.133.234,58974,6,0.5529760260996724,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.580266391141076,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,17,0.5915347122358852,Normal,ATTACK,NEEDMANUALLABEL
104.18.39.21,55745,6,0.5630227698195553,Normal,ATTACK,NEEDMANUALLABEL
104.18.39.21,55745,6,0.42879974300121204,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.6742487193954053,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5360972446122825,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5906881203862111,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6013568991182584,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.3867870591244362,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5622805426356166,Normal,ATTACK,NEEDMANUALLABEL
104.16.103.112,52104,6,0.5375879884764755,Normal,ATTACK,NEEDMANUALLABEL
104.16.103.112,64673,6,0.5466948908883756,Normal,ATTACK,NEEDMANUALLABEL
57.144.57.32,54348,6,0.5771454490474416,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6193704094121997,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5840062061670619,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5820071925101168,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.3867870591244362,Normal,Normal,NEEDMANUALLABEL
162.159.133.234,58974,6,0.5761796283172927,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5344386772730821,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,5228,6,0.48543730311119104,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,8883,6,0.6075305621558645,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.3640056089332662,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.6954269142567443,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6020949324795662,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,80,6,0.47495534430029296,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,80,6,0.467152427605378,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5924109076845869,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.49912887191730687,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5958322428659775,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5463185473600731,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5125861016482148,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.602441958803267,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,7680,6,0.4640186532953396,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.4950925736529031,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.5804504923217734,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6412836400342425,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.636401488296017,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,5222,6,0.6615578707927676,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6185031119015577,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6297594742258694,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,17,0.6214486122337227,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6326814428212424,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6966306851892385,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6317446665701179,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,17,0.6094639464405349,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5995621572805645,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6189914733072199,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6350125011517969,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6392519363684949,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6323895504452556,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6664304370116927,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6127755869016949,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,8883,6,0.5021236529251989,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.637730363228203,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6306458250179118,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.612977062557187,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5780370233022779,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,7680,6,0.4636304255637997,Normal,Normal,NEEDMANUALLABEL
